"","rrightAndAll","index","rThinkAndRight"
"1",0.526315789473684,1,0.666666666666667
"2",0.157894736842105,2,0.3
"3",0.526315789473684,3,0.625
"4",0.578947368421053,4,0.733333333333333
"5",0.578947368421053,5,0.611111111111111
"6",0.631578947368421,6,0.75
"7",0.578947368421053,7,0.6875
"8",0.684210526315789,8,0.722222222222222
"9",0.473684210526316,9,0.6
"10",0.473684210526316,10,0.6
"11",0.421052631578947,11,0.444444444444444
"12",0.421052631578947,12,0.8
"13",0,13,0
"14",0.368421052631579,14,0.583333333333333
"15",0.473684210526316,15,0.6
"16",0.315789473684211,16,0.6
"17",0.526315789473684,17,0.833333333333333
"18",0.473684210526316,18,0.692307692307692
"19",0.315789473684211,19,0.666666666666667
"20",0.421052631578947,20,0.615384615384615
"21",0.157894736842105,21,0.75
"22",0.315789473684211,22,0.666666666666667
"23",0.578947368421053,23,0.647058823529412
"24",0.315789473684211,24,0.857142857142857
"25",0.578947368421053,25,0.611111111111111
"26",0.368421052631579,26,0.7
"27",0.421052631578947,27,1
"28",0.526315789473684,28,0.666666666666667
"29",0.631578947368421,29,0.631578947368421
"30",0.421052631578947,30,0.5
"31",0.210526315789474,31,0.666666666666667
"32",0.578947368421053,32,0.785714285714286
"33",0.368421052631579,33,0.636363636363636
"34",0.789473684210526,34,0.789473684210526
"35",0,35,0
"36",0.578947368421053,36,0.846153846153846
"37",0.684210526315789,37,0.866666666666667
"38",0.473684210526316,38,0.818181818181818
"39",0.473684210526316,39,0.692307692307692
"40",0.684210526315789,40,0.684210526315789
"41",0.368421052631579,41,0.583333333333333
"42",0.684210526315789,42,0.684210526315789
"43",0.526315789473684,43,0.769230769230769
"44",0.473684210526316,44,0.75
"45",0.0526315789473684,45,0.5
"46",0.421052631578947,46,0.727272727272727
"47",0.473684210526316,47,0.9
"48",0.473684210526316,48,0.818181818181818
"49",0.631578947368421,49,0.75
"50",0.526315789473684,50,0.909090909090909
"51",0.368421052631579,51,0.636363636363636
"52",0.631578947368421,52,0.705882352941177
"53",0.684210526315789,53,0.722222222222222
"54",0.315789473684211,54,0.545454545454545
"55",0.210526315789474,55,0.333333333333333
"56",0.263157894736842,56,0.714285714285714
"57",0.526315789473684,57,0.769230769230769
"58",0.684210526315789,58,0.764705882352941
"59",0.368421052631579,59,0.7
"60",0.421052631578947,60,0.615384615384615
"61",0.157894736842105,61,0.333333333333333
"62",0.315789473684211,62,1
"63",0.263157894736842,63,1
"64",0.894736842105263,64,0.894736842105263
"65",0,65,0
"66",0.315789473684211,66,0.857142857142857
"67",0.368421052631579,67,1
"68",0.578947368421053,68,0.785714285714286
"69",0.631578947368421,69,0.666666666666667
"70",0.157894736842105,70,0.333333333333333
"71",0.421052631578947,71,0.727272727272727
"72",0.684210526315789,72,0.866666666666667
"73",0.421052631578947,73,0.533333333333333
"74",0.473684210526316,74,0.9
"75",0.263157894736842,75,0.625
"76",0.263157894736842,76,1
"77",0.421052631578947,77,0.888888888888889
"78",0.368421052631579,78,0.777777777777778
"79",0.473684210526316,79,0.6
"80",0.473684210526316,80,0.642857142857143
"81",0.368421052631579,81,1
"82",0.526315789473684,82,0.769230769230769
"83",0.578947368421053,83,0.785714285714286
"84",0.526315789473684,84,0.714285714285714
"85",0.368421052631579,85,0.777777777777778
"86",0.421052631578947,86,0.888888888888889
"87",0.315789473684211,87,0.857142857142857
"88",0.315789473684211,88,0.666666666666667
"89",0.263157894736842,89,1
"90",0.578947368421053,90,0.785714285714286
"91",0.263157894736842,91,0.714285714285714
"92",0.578947368421053,92,0.733333333333333
"93",0.578947368421053,93,0.578947368421053
"94",0.210526315789474,94,0.8
"95",0.421052631578947,95,0.727272727272727
"96",0.263157894736842,96,0.833333333333333
"97",0.578947368421053,97,0.916666666666667
"98",0.526315789473684,98,0.666666666666667
"99",0.789473684210526,99,0.882352941176471
"100",0.473684210526316,100,0.6
"101",0.263157894736842,101,0.714285714285714
"102",0.421052631578947,102,0.727272727272727
"103",0.578947368421053,103,0.733333333333333
"104",0.631578947368421,104,0.666666666666667
"105",0.526315789473684,105,0.526315789473684
"106",0.631578947368421,106,0.631578947368421
"107",0.315789473684211,107,0.6
"108",0,108,0
"109",0.578947368421053,109,0.611111111111111
"110",0.526315789473684,110,0.833333333333333
"111",0.315789473684211,111,0.857142857142857
"112",0.526315789473684,112,0.588235294117647
"113",0.526315789473684,113,0.588235294117647
"114",0.578947368421053,114,0.785714285714286
"115",0.578947368421053,115,0.733333333333333
"116",0.631578947368421,116,0.75
"117",0.684210526315789,117,0.684210526315789
"118",0.368421052631579,118,0.875
"119",0.368421052631579,119,0.7
"120",0.578947368421053,120,0.785714285714286
"121",0.473684210526316,121,0.818181818181818
"122",0.736842105263158,122,0.736842105263158
"123",0.421052631578947,123,0.727272727272727
